Trial name	epochs	loss	max accuracy	test accuracy	val accuracy
train_model_raytune_056a6_00140	19	5.37134	0.766496	0.791218	0.766496
train_model_raytune_056a6_00141	9	5.92842	0.740975	0.751821	0.740975
train_model_raytune_056a6_00142	29	5.18618	0.7762	0.790839	0.7762
train_model_raytune_056a6_00143	9	5.61634	0.753596	0.760649	0.753596
train_model_raytune_056a6_00144	29	5.25544	0.772981	0.774182	0.772738
train_model_raytune_056a6_00145	9	12.4551	0.433361	0.435098	0.433361
train_model_raytune_056a6_00146	29	5.06191	0.784811	0.796169	0.781061
train_model_raytune_056a6_00147	19	5.40129	0.7657	0.767303	0.7657
train_model_raytune_056a6_00148	9	5.69159	0.748445	0.770707	0.748445
train_model_raytune_056a6_00149	9	5.82245	0.746765	0.747725	0.746765
train_model_raytune_056a6_00150	29	5.11419	0.780069	0.784552	0.779623
train_model_raytune_056a6_00151	29	5.20063	0.774696	0.778797	0.774696
train_model_raytune_056a6_00152	9	5.75464	0.750306	0.760915	0.750306
train_model_raytune_056a6_00153	9	5.85557	0.747925	0.749561	0.747925
train_model_raytune_056a6_00154	29	5.20317	0.779005	0.793294	0.777966
train_model_raytune_056a6_00155	29	5.22987	0.77397	0.775566	0.77397
train_model_raytune_056a6_00156	29	5.26667	0.773983	0.780112	0.7733
train_model_raytune_056a6_00157	9	5.91797	0.745807	0.739555	0.744359
train_model_raytune_056a6_00158	29	5.0509	0.781554	0.786763	0.781554
train_model_raytune_056a6_00159	9	5.84695	0.743743	0.744811	0.743743
train_model_raytune_056a6_00160	9	5.72838	0.752772	0.751782	0.751623
train_model_raytune_056a6_00161	9	5.78678	0.746927	0.742428	0.746927
train_model_raytune_056a6_00162	9	6.26651	0.716923	0.737006	0.716923
train_model_raytune_056a6_00163	29	5.20143	0.774215	0.776959	0.774215
train_model_raytune_056a6_00164	9	6.9354	0.684322	0.69469	0.684322
train_model_raytune_056a6_00165	9	5.79022	0.748445	0.747706	0.748445
train_model_raytune_056a6_00166	9	5.73628	0.748572	0.761961	0.748572
train_model_raytune_056a6_00167	9	6.12366	0.733487	0.739304	0.733487
train_model_raytune_056a6_00168	19	5.39998	0.766835	0.766197	0.766835
train_model_raytune_056a6_00169	9	5.79298	0.747645	0.753637	0.747645
train_model_raytune_056a6_00170	29	5.13569	0.780565	0.790043	0.779308
train_model_raytune_056a6_00171	9	5.87641	0.745035	0.753846	0.745035
train_model_raytune_056a6_00172	9	5.89616	0.748507	0.745941	0.745813
train_model_raytune_056a6_00173	9	5.66768	0.753276	0.762326	0.753276
train_model_raytune_056a6_00174	9	5.67895	0.753764	0.753824	0.753764
train_model_raytune_056a6_00175	29	5.33001	0.769805	0.77797	0.76962
train_model_raytune_056a6_00176	19	5.3762	0.768645	0.780949	0.768046
train_model_raytune_056a6_00177	9	5.79457	0.747414	0.749728	0.747414
train_model_raytune_056a6_00178	19	5.40245	0.770338	0.783043	0.766501
train_model_raytune_056a6_00179	9	5.62193	0.753758	0.766769	0.753758
train_model_raytune_056a6_00180	9	5.94036	0.740405	0.748911	0.740405
train_model_raytune_056a6_00181	9	5.9723	0.736119	0.73825	0.736119
train_model_raytune_056a6_00182	9	5.77289	0.749157	0.74874	0.749157
train_model_raytune_056a6_00183	29	5.30167	0.77406	0.792783	0.772655
train_model_raytune_056a6_00184	9	6.08988	0.733118	0.737481	0.733118
